"","IdLandkreis","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"252",9161,"2022-05-20",30,47.7142857142857
"253",9162,"2022-05-20",553,766.714285714286
"254",9163,"2022-05-20",28,30.4285714285714
"255",9171,"2022-05-20",52,65.8571428571429
"256",9172,"2022-05-20",2,36.2857142857143
"257",9173,"2022-05-20",23,71.7142857142857
"258",9174,"2022-05-20",78,154
"259",9175,"2022-05-20",89,98.7142857142857
"260",9176,"2022-05-20",60,96.5714285714286
"261",9177,"2022-05-20",18,146.142857142857
"262",9178,"2022-05-20",66,107.285714285714
"263",9179,"2022-05-20",102,156.571428571429
"264",9180,"2022-05-20",39,53.8571428571429
"265",9181,"2022-05-20",57,84.1428571428571
"266",9182,"2022-05-20",67,175.285714285714
"267",9183,"2022-05-20",54,70.4285714285714
"268",9184,"2022-05-20",103,205.428571428571
"269",9185,"2022-05-20",20,47.7142857142857
"270",9186,"2022-05-20",49,58.4285714285714
"271",9187,"2022-05-20",142,156.857142857143
"272",9188,"2022-05-20",1,69.4285714285714
"273",9189,"2022-05-20",77,146.857142857143
"274",9190,"2022-05-20",84,92.8571428571429
"275",9261,"2022-05-20",75,104.428571428571
"276",9262,"2022-05-20",11,31.5714285714286
"277",9263,"2022-05-20",15,22.2857142857143
"278",9271,"2022-05-20",60,60.7142857142857
"279",9272,"2022-05-20",35,34.8571428571429
"280",9273,"2022-05-20",28,59
"281",9274,"2022-05-20",144,213.428571428571
"282",9275,"2022-05-20",53,100.714285714286
"283",9276,"2022-05-20",22,33.2857142857143
"284",9277,"2022-05-20",45,49.1428571428571
"285",9278,"2022-05-20",42,72.2857142857143
"286",9279,"2022-05-20",17,48.5714285714286
"287",9361,"2022-05-20",9,15.4285714285714
"288",9362,"2022-05-20",47,69.7142857142857
"289",9371,"2022-05-20",29,52
"290",9372,"2022-05-20",38,77.5714285714286
"291",9373,"2022-05-20",48,102.428571428571
"292",9374,"2022-05-20",13,40.2857142857143
"293",9375,"2022-05-20",60,114
"294",9376,"2022-05-20",18,65.5714285714286
"295",9377,"2022-05-20",26,33.8571428571429
"296",9461,"2022-05-20",41,34
"297",9462,"2022-05-20",16,36.5714285714286
"298",9463,"2022-05-20",19,16.1428571428571
"299",9464,"2022-05-20",13,26.7142857142857
"300",9471,"2022-05-20",69,69.4285714285714
"301",9472,"2022-05-20",29,60.2857142857143
"302",9473,"2022-05-20",47,40.2857142857143
"303",9474,"2022-05-20",15,72.8571428571429
"304",9475,"2022-05-20",58,81
"305",9476,"2022-05-20",7,22
"306",9477,"2022-05-20",33,60.7142857142857
"307",9478,"2022-05-20",47,34.8571428571429
"308",9479,"2022-05-20",33,43.4285714285714
"309",9561,"2022-05-20",7,13.2857142857143
"310",9562,"2022-05-20",51,63.7142857142857
"311",9563,"2022-05-20",47,65.5714285714286
"312",9564,"2022-05-20",216,253.571428571429
"313",9565,"2022-05-20",16,22.7142857142857
"314",9571,"2022-05-20",88,79.1428571428571
"315",9572,"2022-05-20",75,115.428571428571
"316",9573,"2022-05-20",40,61.8571428571429
"317",9574,"2022-05-20",72,95.8571428571429
"318",9575,"2022-05-20",58,66
"319",9576,"2022-05-20",45,73.7142857142857
"320",9577,"2022-05-20",42,65.5714285714286
"321",9661,"2022-05-20",30,46.5714285714286
"322",9662,"2022-05-20",1,13.4285714285714
"323",9663,"2022-05-20",46,66.5714285714286
"324",9671,"2022-05-20",69,105
