"","Meldedatum","gemeldete Fallzahl des Tages","Laufender Tagesdurchschnitt der vergangenen 7 Tage"
"407","2021-04-19",12304,20324.5714285714
"408","2021-04-18",8811,20299
"409","2021-04-17",17693,20305
"410","2021-04-16",23090,20356.2857142857
"411","2021-04-15",25079,20385.4285714286
"412","2021-04-14",28556,20484
"413","2021-04-13",26739,19795.1428571429
"414","2021-04-12",12125,17620.8571428571
"415","2021-04-11",8853,16894.7142857143
"416","2021-04-10",18052,16651.8571428571
"417","2021-04-09",23294,15592.2857142857
"418","2021-04-08",25769,14478.4285714286
"419","2021-04-07",23734,13862.2857142857
"420","2021-04-06",11519,13901.1428571429
"421","2021-04-05",7042,15169.1428571429
"422","2021-04-04",7153,15733.8571428571
"423","2021-04-03",10635,15795.8571428571
"424","2021-04-02",15497,16531.2857142857
"425","2021-04-01",21456,17180.5714285714
"426","2021-03-31",24006,17245.7142857143
"427","2021-03-30",20395,17053.4285714286
"428","2021-03-29",10995,16919.7142857143
"429","2021-03-28",7587,16621.5714285714
"430","2021-03-27",15783,16389.2857142857
"431","2021-03-26",20042,16024.8571428571
"432","2021-03-25",21912,15406.4285714286
"433","2021-03-24",22660,14667.7142857143
"434","2021-03-23",19459,14055.1428571429
"435","2021-03-22",8908,13532.4285714286
"436","2021-03-21",5961,13238.2857142857
"437","2021-03-20",13232,13077.4285714286
"438","2021-03-19",15713,12682.7142857143
"439","2021-03-18",16741,12232
"440","2021-03-17",18372,11721.8571428571
"441","2021-03-16",15800,11097.7142857143
"442","2021-03-15",6849,10484.8571428571
"443","2021-03-14",4835,10199.7142857143
"444","2021-03-13",10469,9989.57142857143
"445","2021-03-12",12558,9679.57142857143
"446","2021-03-11",13170,9265.57142857143
"447","2021-03-10",14003,8832
"448","2021-03-09",11510,8447.85714285714
"449","2021-03-08",4853,8370.28571428571
"450","2021-03-07",3364,8346.42857142857
"451","2021-03-06",8299,8359
"452","2021-03-05",9660,8268.14285714286
"453","2021-03-04",10135,8239.28571428571
"454","2021-03-03",11314,8208.85714285714
"455","2021-03-02",10967,8207
"456","2021-03-01",4686,8095
"457","2021-02-28",3452,8055.14285714286
"458","2021-02-27",7663,7996.71428571429
"459","2021-02-26",9458,8013.28571428571
"460","2021-02-25",9922,7908.85714285714
"461","2021-02-24",11301,7811.14285714286
"462","2021-02-23",10183,7626
"463","2021-02-22",4407,7492.85714285714
"464","2021-02-21",3043,7490.85714285714
"465","2021-02-20",7779,7593.42857142857
"466","2021-02-19",8727,7281.71428571429
"467","2021-02-18",9238,7255.14285714286
"468","2021-02-17",10005,7271.57142857143
"469","2021-02-16",9251,7311
"470","2021-02-15",4393,7289.28571428571
"471","2021-02-14",3761,7259.28571428571
"472","2021-02-13",5597,7163.28571428571
"473","2021-02-12",8541,7561.42857142857
"474","2021-02-11",9353,7772.14285714286
"475","2021-02-10",10281,8079.85714285714
"476","2021-02-09",9099,8528.71428571429
"477","2021-02-08",4183,8985.85714285714
"478","2021-02-07",3089,9226.14285714286
"479","2021-02-06",8384,9385.71428571429
"480","2021-02-05",10016,9608
"481","2021-02-04",11507,9973.57142857143
"482","2021-02-03",13423,10239.1428571429
"483","2021-02-02",12299,10581
"484","2021-02-01",5865,11040
"485","2021-01-31",4206,11166.2857142857
