"","date","name","code","Daily new hospital admissions","Daily people in MV beds","Daily people in hospital with coronavirus","Seven-day average hospital admissions","Seven-day average MV beds","Seven-day average hospital cases"
"333","2021-02-20","England","E92000001",904,2142,14316,1193,2396.28571428571,16290.7142857143
"334","2021-02-19","England","E92000001",1068,2251,15018,1241,2460.57142857143,16773.2857142857
"335","2021-02-18","England","E92000001",1149,2316,15633,1276.71428571429,2523,17343.4285714286
"336","2021-02-17","England","E92000001",1233,2393,16458,1318.28571428571,2589.28571428571,17964.8571428571
"337","2021-02-16","England","E92000001",1311,2484,17093,1361.42857142857,2657.71428571429,18603.1428571429
"338","2021-02-15","England","E92000001",1322,2577,17730,1392.85714285714,2718.71428571429,19313.7142857143
"339","2021-02-14","England","E92000001",1364,2611,17787,1452.42857142857,2776.28571428571,20069.4285714286
"340","2021-02-13","England","E92000001",1240,2592,17694,1496.85714285714,2838.57142857143,20812.8571428571
"341","2021-02-12","England","E92000001",1318,2688,19009,1559.57142857143,2911,21576.8571428571
"342","2021-02-11","England","E92000001",1440,2780,19983,1622.28571428571,2986.57142857143,22347.2857142857
"343","2021-02-10","England","E92000001",1535,2872,20926,1689,3057.28571428571,23111.7142857143
"344","2021-02-09","England","E92000001",1531,2911,22067,1769.14285714286,3122.42857142857,23890
"345","2021-02-08","England","E92000001",1739,2980,23020,1867.85714285714,3181.42857142857,24651.4285714286
"346","2021-02-07","England","E92000001",1675,3047,22991,1954.71428571429,3243.42857142857,25439.8571428571
"347","2021-02-06","England","E92000001",1679,3099,23042,2027.28571428571,3289,26171.4285714286
"348","2021-02-05","England","E92000001",1757,3217,24402,2100.71428571429,3344.28571428571,26961.2857142857
"349","2021-02-04","England","E92000001",1907,3275,25334,2189.57142857143,3385.57142857143,27669.4285714286
"350","2021-02-03","England","E92000001",2096,3328,26374,2305.57142857143,3429.85714285714,28383.5714285714
"351","2021-02-02","England","E92000001",2222,3324,27397,2397.85714285714,3469,29022.4285714286
"352","2021-02-01","England","E92000001",2347,3414,28539,2480.28571428571,3513.28571428571,29728.1428571429
"353","2021-01-31","England","E92000001",2183,3366,28112,2523.28571428571,3553.28571428571,30356.5714285714
"354","2021-01-30","England","E92000001",2193,3486,28571,2614.85714285714,3606.14285714286,31041.5714285714
"355","2021-01-29","England","E92000001",2379,3506,29359,2698.71428571429,3641.14285714286,31619.1428571429
"356","2021-01-28","England","E92000001",2719,3585,30333,2789.71428571429,3672.71428571429,32198.1428571429
"357","2021-01-27","England","E92000001",2742,3602,30846,2863.71428571429,3675.85714285714,32612.7142857143
"358","2021-01-26","England","E92000001",2799,3634,32337,2997.57142857143,3676,33047
"359","2021-01-25","England","E92000001",2648,3694,32938,3136,3671.57142857143,33286.7142857143
"360","2021-01-24","England","E92000001",2824,3736,32907,3287.85714285714,3653.85714285714,33486.4285714286
"361","2021-01-23","England","E92000001",2780,3731,32614,3373.57142857143,3624.85714285714,33550
"362","2021-01-22","England","E92000001",3016,3727,33412,3486.28571428571,3595.42857142857,33594.1428571429
"363","2021-01-21","England","E92000001",3237,3607,33235,3526.14285714286,3557.85714285714,33587
"364","2021-01-20","England","E92000001",3679,3603,33886,3589.14285714286,3521.28571428571,33542.7142857143
"365","2021-01-19","England","E92000001",3768,3603,34015,3612.14285714286,3479,33371.7142857143
"366","2021-01-18","England","E92000001",3711,3570,34336,3664.42857142857,3417.85714285714,33112.7142857143
"367","2021-01-17","England","E92000001",3424,3533,33352,3690.57142857143,3344.28571428571,32789
"368","2021-01-16","England","E92000001",3569,3525,32923,3711.57142857143,3262.85714285714,32418.4285714286
"369","2021-01-15","England","E92000001",3295,3464,33362,3732.85714285714,3167.85714285714,31924
"370","2021-01-14","England","E92000001",3678,3351,32925,3769.14285714286,3075,31350.2857142857
"371","2021-01-13","England","E92000001",3840,3307,32689,3793.57142857143,2975.42857142857,30681.8571428571
"372","2021-01-12","England","E92000001",4134,3175,32202,3811.71428571429,2867.28571428571,29973
"373","2021-01-11","England","E92000001",3894,3055,32070,3749.28571428571,2753.42857142857,29153.7142857143
"374","2021-01-10","England","E92000001",3571,2963,30758,3705.42857142857,2647,28376
"375","2021-01-09","England","E92000001",3718,2860,29462,3674,2535.28571428571,27547.2857142857
"376","2021-01-08","England","E92000001",3549,2814,29346,3592.14285714286,2414.85714285714,26703.7142857143
"377","2021-01-07","England","E92000001",3849,2654,28246,3515.14285714286,2290,25730.5714285714
"378","2021-01-06","England","E92000001",3967,2550,27727,3327.57142857143,2182.14285714286,24942.2857142857
"379","2021-01-05","England","E92000001",3697,2378,26467,3169.57142857143,2082.71428571429,24226
"380","2021-01-04","England","E92000001",3587,2310,26626,3053.71428571429,1989.85714285714,23557.4285714286
"381","2021-01-03","England","E92000001",3351,2181,24957,2940.57142857143,1894.28571428571,22671.7142857143
"382","2021-01-02","England","E92000001",3145,2017,23557,2829.28571428571,1805,21860.2857142857
"383","2021-01-01","England","E92000001",3010,1940,22534,2708.28571428571,1730.85714285714,21116.4285714286
"384","2020-12-31","England","E92000001",2536,1899,22728,2557.14285714286,1659,20426
"385","2020-12-30","England","E92000001",2861,1854,22713,2451.28571428571,1591.57142857143,19783
"386","2020-12-29","England","E92000001",2886,1728,21787,2325.42857142857,1523,19086
"387","2020-12-28","England","E92000001",2795,1641,20426,2227.85714285714,1467.42857142857,18554
"388","2020-12-27","England","E92000001",2572,1556,19277,2130.71428571429,1422.57142857143,18165.8571428571
"389","2020-12-26","England","E92000001",2298,1498,18350,2045.57142857143,1381.28571428571,17788.1428571429
"390","2020-12-25","England","E92000001",1952,1437,17701,1976.14285714286,1344.28571428571,17478.5714285714
"391","2020-12-24","England","E92000001",1795,1427,18227,1936.14285714286,1309,17216.4285714286
"392","2020-12-23","England","E92000001",1980,1374,17834,1947.28571428571,1274.85714285714,16861.2857142857
"393","2020-12-22","England","E92000001",2203,1339,18063,1921,1244.71428571429,16522.8571428571
